age,income,family_size,spend_cat_A,spend_cat_B,spend_cat_C,persona
56,106290,4,0.8499543630666899,0.42071477957415293,0.15830240124071238,0
46,64389,1,0.819300324105395,0.07479975329822319,0.5491901908133308,3
32,40905,5,0.3054337918569875,0.28620805854153386,0.966433510683693,1
25,109619,1,0.5967983181334544,0.47482565875329297,0.6372321944725737,1
38,73730,3,0.38269972210203607,0.2099612713581811,0.5643895606130134,3
56,77557,3,0.01031734930352135,0.07953492634557391,0.7880460272461461,3
36,136814,4,0.026104126567127017,0.432133270645793,0.005567145184295241,2
40,126634,4,0.05425636548157642,0.4484764984919699,0.2824631048442585,3
28,115157,2,0.5940721543255787,0.9156142963287203,0.9869779052927022,4
28,106113,2,0.2792277353055279,0.12783764257646713,0.7826190690794727,1
41,122264,4,0.14394829831489053,0.6149953776776284,0.09026722288302758,3
53,86199,3,0.9411311084438876,0.319702566365371,0.326459989033658,0
57,67301,1,0.12131866708121586,0.12359783039692152,0.43986420044033214,3
41,104752,4,0.6739817164248777,0.3931471067752528,0.9345839646050651,3
20,67259,1,0.8941601828226586,0.4279375853642152,0.5861870645963279,1
39,94801,2,0.16382966723844972,0.363564514290763,0.07722561644607084,2
19,24574,1,0.21472968222871514,0.7657327409353287,0.5090732596147579,4
41,108291,4,0.5738135335759571,0.8392064699539362,0.2893871364853837,0
47,146902,3,0.5084486863787977,0.14873176176321745,0.338701421606191,0
55,76776,4,0.5210274168862675,0.16790507162963364,0.11426927229961337,0
19,116777,5,0.5546780940180887,0.4212175981433277,0.45875571688165007,2
38,108212,5,0.9499029159610443,0.3201889611015385,0.669484799977338,0
50,107097,5,0.05383804196694997,0.8195736053923375,0.7595508494905909,0
29,44737,3,0.7604485206948192,0.996811203114993,0.6953868864799773,2
39,43390,4,0.23250642240673336,0.18111037143446218,0.6605133832857709,2
42,111612,5,0.37367767017238207,0.7625441508398029,0.8692170542798426,0
44,72330,4,0.08929112296506403,0.6072468162166363,0.33237110328710306,3
59,91082,2,0.4456267691535436,0.6444240666350147,0.21459401035562087,0
45,73642,5,0.8042192522751215,0.26444146900388654,0.08943839908924045,0
33,41280,5,0.09874033853295494,0.09719622213912193,0.1657062962011625,2
32,118489,3,0.275603598220299,0.5432561059013258,0.14939165309072955,2
20,41037,4,0.37306170867702504,0.6135058489038421,0.9124969801011524,4
54,136668,3,0.10389920308764233,0.9630489398824702,0.18051693004732416,0
24,139229,3,0.7623168099769335,0.6752310640888769,0.09394442550679516,2
38,60576,4,0.7869470282174255,0.4436843001715214,0.4002523220001232,0
26,48564,2,0.835894997779968,0.9940011287889834,0.16961076035017764,2
56,119133,4,0.5838962048063182,0.3732389748775028,0.13056811532432788,0
35,105439,2,0.5072388208543759,0.16255850186533938,0.3624090070396748,3
21,116342,3,0.262552445471242,0.6179800527846582,0.9193838698730207,4
42,131864,2,0.6551579672905478,0.2662506334218907,0.030433897626625406,3
31,109928,2,0.4445634856555435,0.9222048369006587,0.2077168327165032,2
